ExperimentName,train_loss,val_loss,test_loss,train_acc,val_acc,test_acc,train_IoU,val_IoU,test_IoU
BaseModel,0.1012,0.1537,0.3969,0.9627,0.9600,0.9489,0.7288,0.6966,0.6451
FirstKernel11,0.1111,0.1494,0.3646,0.9576,0.9579,0.9456,0.6880,0.6856,0.6420
Normless,0.1234,0.1847,0.4836,0.9562,0.9621,0.9503,0.6916,0.6675,0.6364
FocalLoss,0.0222,0.0257,0.0396,0.9707,0.9712,0.9632,0.7888,0.7928,0.6885
FlipandRotate,0.1260,0.1446,0.3563,0.9527,0.9552,0.9425,0.7056,0.6791,0.6501
RandomResize200x200,0.0996,0.1349,0.2551,0.9585,0.9663,0.9604,0.6898,0.7056,0.6888
RandomResize350x350,0.0826,0.1644,0.5004,0.9615,0.9673,0.9610,0.6990,0.7330,0.6957
Attention,0.0908,0.1522,0.3943,0.9596,0.9570,0.9432,0.7033,0.6904,0.6492
FocalIoU,0.3240,0.3362,0.5067,0.9739,0.9712,0.9632,0.7761,0.7928,0.6885
WeightDecay,0.0176,0.0244,0.0396,0.9761,0.9729,0.9625,0.8104,0.8145,0.6816
FocalLossWeightDecay,0.0241,0.0265,0.0371,0.9719,0.9701,0.9648,0.7809,0.7887,0.6961
IoULoss,0.3993,0.3326,0.3310,0.9686,0.9696,0.9659,0.7283,0.7388,0.6900
FocalIoULoss,0.0062,0.0083,0.0158,0.9550,0.9555,0.9497,0.6163,0.6217,0.6296
